SENW_ARTICULATED_PROPOSITION,270,$proposition
SENW_ARTICULATED_PROPOSITION,10,$proposition; this is why $proposition
SENW_ARTICULATED_PROPOSITION,10,$proposition; nevertheless $proposition
SENW_ARTICULATED_PROPOSITION,10,$proposition, whereas $proposition
SENW_ARTICULATED_PROPOSITION,40,$proposition, while $proposition
SENW_ARTICULATED_PROPOSITION,10,$proposition. In the same time, $proposition
SENW_ARTICULATED_PROPOSITION,10,$proposition. As a result, $proposition
SENW_ARTICULATED_PROPOSITION,10,$proposition, whilst $proposition
SENW_ARTICULATED_PROPOSITION,3,our gut-feeling is that $proposition
SENW_ARTICULATED_PROPOSITION,3,going forward, $proposition
SENW_ARTICULATED_PROPOSITION,3,actually, $proposition
SENW_ARTICULATED_PROPOSITION,3,in the future, $proposition
SENW_ARTICULATED_PROPOSITION,3,flat out, $proposition
SENW_ARTICULATED_PROPOSITION,3,first and foremost, $proposition
SENW_ARTICULATED_PROPOSITION,1,in today's fast-changing world, $proposition
SENW_ARTICULATED_PROPOSITION,1,internally and externally, $proposition
SENW_ARTICULATED_PROPOSITION,1,our message is: $proposition
SENW_ARTICULATED_PROPOSITION,1,in a data-first world, $proposition
SENW_ARTICULATED_PROPOSITION,1, the future awaits
SENW_ARTICULATED_PROPOSITION,1,success brings success;
SENW_ARTICULATED_PROPOSITION,1,everyone is coming to grips with the fact that $proposition
SENW_ARTICULATED_PROPOSITION,1,as the consumer and commerce landscape continues to evolve $proposition
SENW_ARTICULATED_PROPOSITION,1,in an age of information, $proposition
SENW_ARTICULATED_PROPOSITION,1,in a growing digital environment, $proposition
SENW_ARTICULATED_PROPOSITION,5,$faukon $personInfinitiveVerbAndEnding $eventualPostfixedAdverb
SENW_ARTICULATED_PROPOSITION,45,the $person $eventualAdverb $personVerbAndEnding $eventualPostfixedAdverb
SENW_ARTICULATED_PROPOSITION,47,$thingWithRandomArticlePlural $eventualAdverb $thingVerbAndEnding $eventualPostfixedAdverb
SENW_ARTICULATED_PROPOSITION,5,$thingAtomRandom and $thingAtomRandom  $eventualAdverb $thingVerbAndEnding $eventualPostfixedAdverb
SENW_ARTICULATED_PROPOSITION,3,$thingAtom, $thingAtom and $thingAtom $eventualAdverb $thingVerbAndEndingPlural $eventualPostfixedAdverb
SENW_ARTICULATED_PROPOSITION,1,there can be no $growthAtom until we can achieve $addIndefiniteArticleGrowth
SENW_ARTICULATED_PROPOSITION,1,$thing is all about $thing
SENW_ARTICULATED_PROPOSITION,1,there is no alternative to $thingAtomRandom
SENW_ARTICULATED_PROPOSITION,1,the key to $thingAtom is $thingAtom
SENW_ARTICULATED_PROPOSITION,1,opting out of $thing is not a choice
SENW_ARTICULATED_PROPOSITION,1,$addIndefiniteArticleGrowth goes hand-in-hand with $addIndefiniteArticleGrowth
SENW_ARTICULATED_PROPOSITION,1,the $person will be well equipped to $personInfinitiveVerbAndEnding
SENW_ARTICULATED_PROPOSITION,1,$thingAtom is a matter of speed of action
SENW_ARTICULATED_PROPOSITION,1,$thingAtom won't happen without $thingAtomRandom,
SENW_ARTICULATED_PROPOSITION,1,$thingWithRandomArticlePlural will be best positioned to $personInfinitiveVerbAndEnding
SENW_ARTICULATED_PROPOSITION,1,$thingAtom in the digital age calls for $thingAtomRandom
SENW_ARTICULATED_PROPOSITION,1,$thingAtom moves the company up the value chain
SENW_ARTICULATED_PROPOSITION,1,$thingAtom requires that we all pull in the same direction
SENW_ARTICULATED_PROPOSITION,3,the point is not merely to $personInfinitiveVerbAndEnding. The point is to $personInfinitiveVerbAndEnding
SENW_ARTICULATED_PROPOSITION,4,it's not about $thingAtomRandom. It's about $thingWithRandomArticleRandom
SENW_ARTICULATED_PROPOSITION,3,our challenge is not to $personInfinitiveVerbAndEnding. Our challenge is to $personInfinitiveVerbAndEnding
SENW_ARTICULATED_PROPOSITION,4,the game is all about $thingAtom, $thingAtom, $thingAtom, $thingAtom, and $thingAtom - not $thingAtom, $thingAtom, $thingAtom, $thingAtom, and $thingAtom
SENW_ARTICULATED_PROPOSITION,1,$thingAtomPlural not only thrive on change, they initiate it
SENW_ARTICULATED_PROPOSITION,1,as the pace of $thingAtomRandom continues to accelerate, $thingAtom has become a necessity
SENW_ARTICULATED_PROPOSITION,1,$thingAtom, $thingAtom, $thingAtom, $thingAtom - all are competing for the attention of $person
SENW_ARTICULATED_PROPOSITION,1,$thingPlural will be a thing of the past over the next decade and be fully replaced with $thingRandom
SENW_BOSS_AGE,3,
SENW_BOSS_AGE,1,Senior-
SENW_BOSS_CO,4,
SENW_BOSS_CO,1,Co-
SENW_BOSS_DEPT,42,department
SENW_BOSS_DEPT,1,Visionary
SENW_BOSS_DEPT,1,Digital
SENW_BOSS_DEPT,1,Technical
SENW_BOSS_DEPT,1,Manifesto
SENW_BOSS_DEPT,1,Operating
SENW_BOSS_DEPT,1,Product
SENW_BOSS_DEPT,1,Scheme
SENW_BOSS_DEPT,1,Growth
SENW_BOSS_DEPT,1,Brand
SENW_BOSS_DEPT,1,Sales
SENW_BOSS_DEPT,1,Networking
SENW_BOSS_DEPT,1,Content
SENW_BOSS_DEPT,1,Holacracy
SENW_BOSS_DEPT,1,Data Protection
SENW_BOSS_DEPT,1,Risk Appetite
SENW_BOSS_DEPT,1,Business
SENW_BOSS_EXECUTIVE,10,
SENW_BOSS_EXECUTIVE,1,Executive
SENW_BOSS_EXECUTIVE,1,Principal
SENW_BOSS_GROUPAL,18,
SENW_BOSS_GROUPAL,1,Group
SENW_BOSS_GROUPAL,1,Global
SENW_BOSS_MANAGING,5,
SENW_BOSS_MANAGING,1,Managing
SENW_BOSS_MANAGING,1,Acting
SENW_BOSS_MANAGING,1,General
SENW_BOSS_OFFICER,1,Catalyst
SENW_BOSS_OFFICER,1,Futurist
SENW_BOSS_OFFICER,1,Strategist
SENW_BOSS_OFFICER,1,Technologist
SENW_BOSS_OFFICER,1,Evangelist
SENW_BOSS_OFFICER,15,Officer
SENW_BOSS_TITLE,1,%s%sDirector
SENW_BOSS_TITLE,1,%sChief
SENW_BOSS_TITLE,1,%sHead
SENW_BOSS_TITLE,1,%s%sPresident
SENW_BOSS_TITLE,1,Supervisor
SENW_BOSS_TITLE,1,%sManager
SENW_BOSS_VICE,29,
SENW_BOSS_VICE,10,Vice
SENW_BOSS_VICE,1,Corporate Vice
SENW_EVENTUAL_POSTFIXED_ADVERB,38,
SENW_EVENTUAL_POSTFIXED_ADVERB,1, using $thingWithRandomArticleRandom
SENW_EVENTUAL_POSTFIXED_ADVERB,1, by leveraging $thingWithRandomArticlePlural
SENW_EVENTUAL_POSTFIXED_ADVERB,1, taking advantage of $thingWithRandomArticleRandom
SENW_EVENTUAL_POSTFIXED_ADVERB,1, within the $matrixOrSO
SENW_EVENTUAL_POSTFIXED_ADVERB,1, across the $matrixOrSOPlural
SENW_EVENTUAL_POSTFIXED_ADVERB,1, across and beyond the $matrixOrSOPlural
SENW_EVENTUAL_POSTFIXED_ADVERB,1, resulting in $addIndefiniteArticleGrowth
SENW_EVENTUAL_POSTFIXED_ADVERB,1, reaped from our $growth
SENW_EVENTUAL_POSTFIXED_ADVERB,1, as a consequence of $addIndefiniteArticleGrowth
SENW_EVENTUAL_POSTFIXED_ADVERB,1, because $thingWithRandomArticlePlural produce $growth
SENW_EVENTUAL_POSTFIXED_ADVERB,1, up, down and across the $matrixOrSO
SENW_EVENTUAL_POSTFIXED_ADVERB,1, ensuring $addIndefiniteArticleThingRandom
SENW_EVENTUAL_POSTFIXED_ADVERB,1,, paving the way for $addIndefiniteArticleThingRandom;
SENW_FAUKON,15,
SENW_FAUKON,1,we must activate the $matrixOrSO to
SENW_ORG,2,organization
SENW_ORG,3,silo
SENW_ORG,3,matrix
SENW_ORG,1,cube
SENW_ORG,1,sphere
SENW_ORG,1,pyramid
SENW_PERSON,1,$thingAtom champion
SENW_PERSON,1,$thingAtomPlural champion
SENW_PERSON,16,$thingAtom
SENW_PERSON,16,$thingAtomPlural
SENW_PERSON,14,$boss
SENW_PERSON_VERB_AND_DEFINITE_ENDING,110,
SENW_PERSON_VERB_AND_DEFINITE_ENDING,1,create an environment where $thingAtom, $thingAtom and $thingAtom can thrive
SENW_PERSON_VERB_AND_DEFINITE_ENDING,1,advance our strategy to $personInfinitiveVerbAndEnding
SENW_PERSON_VERB_AND_DEFINITE_ENDING,1,focus on our $thingAtomPlural to $personInfinitiveVerbAndEnding
SENW_PERSON_VERB_AND_ENDING,10,$personVerbAndDefiniteEndingPluralInf
SENW_PERSON_VERB_AND_ENDING,2,$personVerbHavingBadThingComplement $badThingWithRandomArticle
SENW_PERSON_VERB_AND_ENDING,2,$personVerbHavingBadThingComplement $badThingWithRandomArticlePlural
SENW_PERSON_VERB_AND_ENDING,2,$personVerbHavingBadThingComplementPlural $badThingWithRandomArticlePlural
SENW_PERSON_VERB_AND_ENDING,40,$personVerbHavingThingComplement $thingWithRandomArticle
SENW_PERSON_VERB_AND_ENDING,40,$personVerbHavingThingComplement $thingWithRandomArticlePlural
SENW_PERSON_VERB_AND_ENDING,40,$personVerbHavingThingComplementPlural $thingWithRandomArticlePlural
SENW_PROPOSITION,5,$faukon $personInfinitiveVerbAndEnding $eventualPostfixedAdverb
SENW_PROPOSITION,45,the $person $eventualAdverb $personVerbAndEnding $eventualPostfixedAdverb
SENW_PROPOSITION,20,$thingWithRandomArticlePlural $eventualAdverb $thingVerbAndEndingPlural $eventualPostfixedAdverb
